Datum;Vollständig geimpft;Nicht vollständig geimpft
01.06.2021;0;75,91380262
02.06.2021;0;67,50503353
03.06.2021;0;61,83263315
04.06.2021;0;60,46422436
05.06.2021;0;60,07804275
06.06.2021;0;58,90687625
07.06.2021;0;54,80256398
08.06.2021;0;52,46096747
09.06.2021;0;53,4494472
10.06.2021;0;52,86912932
11.06.2021;0;48,3694407
12.06.2021;0;43,67231273
13.06.2021;0;38,19215944
14.06.2021;0;35,26438493
15.06.2021;0;27,43220816
16.06.2021;0;23,90895782
17.06.2021;0;20,77620693
18.06.2021;0;20,583029
19.06.2021;0;18,82050337
20.06.2021;0;21,37145949
21.06.2021;0;22,16012159
22.06.2021;0;23,34015232
23.06.2021;0;21,97237366
24.06.2021;0;22,76040553
25.06.2021;0;22,17325356
26.06.2021;0;21,19458988
27.06.2021;0;18,84322243
28.06.2021;0;16,49332315
29.06.2021;0;15,90999265
30.06.2021;0;15,72030435
01.07.2021;0;15,52779771
02.07.2021;0;15,92328515
03.07.2021;0;15,53347661
04.07.2021;0;14,95103536
05.07.2021;0;14,37262507
06.07.2021;0;13,40538068
07.07.2021;0;13,42446174
08.07.2021;0;14,62066295
09.07.2021;0;15,41505023
10.07.2021;0;16,60847111
11.07.2021;0;19,60143744
12.07.2021;0;21,61681908
13.07.2021;0;25,02860412
14.07.2021;0;29,09282204
15.07.2021;0;32,52571128
16.07.2021;0;41,72772758
17.07.2021;0;48,95104895
18.07.2021;0;52,23614741
19.07.2021;0;55,16981268
20.07.2021;6,511264488;58,116035
21.07.2021;6,045949214;60,67337366
22.07.2021;10,16880212;61,46406178
23.07.2021;9,963136395;57,25132724
24.07.2021;9,769918421;55,46886429
25.07.2021;9,331840239;55,78096403
26.07.2021;8,848774445;57,54667505
27.07.2021;4,189534543;57,49125355
28.07.2021;3,968096504;57,44320303
29.07.2021;3,726337755;57,01899741
30.07.2021;7,03358537;55,76162113
31.07.2021;6,8766332;53,35484071
01.08.2021;6,548574048;52,68638327
02.08.2021;9,139097057;53,77094827
03.08.2021;14,54968718;57,28933624
04.08.2021;18,85725061;59,51404574
05.08.2021;14,83789599;61,83794224
06.08.2021;11,75226231;64,66791748
07.08.2021;15,94787324;69,76059529
08.08.2021;17,08927007;73,84731638
09.08.2021;19,76401763;81,59431394
10.08.2021;14,90451793;89,98527118
11.08.2021;15,27650474;101,6033941
12.08.2021;17,24597463;114,290552
13.08.2021;17,19222338;128,7146599
14.08.2021;15,46572935;136,802004
15.08.2021;14,77600913;148,7925439
16.08.2021;12,86885351;150,3683334
17.08.2021;12,23990208;156,1705949
18.08.2021;8,067583298;165,7775106
19.08.2021;8,757334267;173,2785488
20.08.2021;7,19957214;181,9884404
21.08.2021;9,165436122;186,2736582
22.08.2021;10,63048436;191,1218756
23.08.2021;12,02445589;205,920015
24.08.2021;12,49263827;222,9306518
25.08.2021;13,92975919;226,2574256
26.08.2021;11,05630209;231,3578478
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
