Datum;Vollständig geimpft;Nicht vollständig geimpft
01.06.2021;6,766055339;16,3136966
02.06.2021;5,612610163;14,84933255
03.06.2021;5,160573708;13,69445522
04.06.2021;5,001793326;13,47880559
05.06.2021;4,479348388;13,06257039
06.06.2021;4,0824413;12,51120229
07.06.2021;3,600125888;12,54821704
08.06.2021;3,386260586;11,92169212
09.06.2021;3,634145106;11,68071099
10.06.2021;3,131377482;11,18042815
11.06.2021;2,990791566;10,75103671
12.06.2021;2,750897745;10,23284508
13.06.2021;2,390817597;9,019733836
14.06.2021;2,101940091;8,126092423
15.06.2021;1,760742486;7,727004162
16.06.2021;1,146032198;6,924403029
17.06.2021;1,035901522;6,684707323
18.06.2021;1,022374195;6,516833796
19.06.2021;1,192495352;6,098736902
20.06.2021;1,259575019;6,207892244
21.06.2021;1,224925126;6,031415056
22.06.2021;0,930556777;5,439488367
23.06.2021;1,155286135;5,496035526
24.06.2021;1,143520852;4,818258978
25.06.2021;0,973048187;4,391378323
26.06.2021;0,722028612;4,351820054
27.06.2021;0,792043448;4,130802336
28.06.2021;0,928037641;4,552355052
29.06.2021;0,831194267;4,387217892
30.06.2021;0,665994259;4,201001099
01.07.2021;0,586778272;4,041951199
02.07.2021;0,877132071;3,848530396
03.07.2021;0,868639298;3,795906061
04.07.2021;0,852368377;3,349429201
05.07.2021;0,629496088;3,089944862
06.07.2021;0,824655552;3,536217944
07.07.2021;0,810833821;3,642726265
08.07.2021;1,007261685;4,175206396
09.07.2021;0,869706581;4,451258717
10.07.2021;1,257442072;4,921054923
11.07.2021;1,372656679;5,558162291
12.07.2021;1,606363771;6,423922688
13.07.2021;2,078173323;6,568061891
14.07.2021;2,295073222;7,232038509
15.07.2021;2,462340048;7,363271413
16.07.2021;2,699563714;7,719439925
17.07.2021;2,682391986;8,444035646
18.07.2021;2,843057194;9,686838354
19.07.2021;3,179982192;9,421503955
20.07.2021;2,852348196;9,98883506
21.07.2021;3,008107735;10,52460208
22.07.2021;2,939806866;11,9457464
23.07.2021;3,346883318;11,49157285
24.07.2021;3,504963613;10,6480253
25.07.2021;3,544537403;10,81435528
26.07.2021;3,29138074;11,7190028
27.07.2021;3,854225151;12,03188449
28.07.2021;4,059792162;13,34153056
29.07.2021;4,33479937;13,26635942
30.07.2021;4,158241007;16,24185398
31.07.2021;4,264770607;18,71824093
01.08.2021;4,538386524;19,04670326
02.08.2021;5,030681505;21,52054838
03.08.2021;5,126945422;24,40496348
04.08.2021;5,049705939;26,09187794
05.08.2021;5,431772735;27,42752951
06.08.2021;5,929850982;26,55290909
07.08.2021;5,639449344;28,28926062
08.08.2021;5,565378449;29,99838167
09.08.2021;5,880212309;29,34946023
10.08.2021;6,033536499;31,39161441
11.08.2021;6,736070276;32,69885371
12.08.2021;7,329111838;33,95821912
13.08.2021;8,036961214;37,58394775
14.08.2021;8,465757386;39,63470018
15.08.2021;9,269640119;41,42717664
16.08.2021;9,247186038;42,44285972
17.08.2021;9,720486854;42,55472304
18.08.2021;10,24634838;45,22985085
19.08.2021;10,39983839;49,04165328
20.08.2021;10,5524995;52,24795201
21.08.2021;12,01293266;54,76108858
22.08.2021;11,71995175;58,19685303
23.08.2021;12,23947784;65,85957688
24.08.2021;12,76047454;71,35683704
25.08.2021;12,84982016;75,77251407
26.08.2021;12,35503071;80,6629024
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
