STATcube

"Deceased (Q)"
"Year under review and Todesursachen ICD/10 Version 2013 - 4-Steller N (Ebene +2) by Deceased"
"Counting: Deceased"

,"Counting","Deceased","Deceased - Annotations",
"Year under review","Todesursachen ICD/10 Version 2013 - 4-Steller N (Ebene +2)",
"2015","A00-B99  Bestimmte infektiöse und parasitäre Krankheiten",838,,
,"C00-D48  Neubildungen",20982,,
,"D50-D89  Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems",210,,
,"E00-E90  Endokrine, Ernährungs- und Stoffwechselkrankheiten",4235,,
,"F00-F99  Psychische und Verhaltensstörungen",1772,,
,"G00-G99  Krankheiten des Nervensystems",2863,,
,"H00-H59  Krankheiten des Auges und der Augenanhangsgebilde",1,,
,"H60-H95  Krankheiten des Ohres und des Warzenfortsatzes",1,,
,"I00-I99  Krankheiten des Kreislaufsystems",35537,,
,"J00-J99  Krankheiten des Atmungssystems",4464,,
,"K00-K93  Krankheiten des Verdauungssystems",2855,,
,"L00-L99  Krankheiten der Haut und der Unterhaut",54,,
,"M00-M99  Krankheiten des Muskel-Skelett-Systems und des Bindegewebes",267,,
,"N00-N99  Krankheiten des Urogenitalsystems",1705,,
,"O00-O99  Schwangerschaft, Geburt und Wochenbett",4,,
,"P00-P96  Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",135,,
,"Q00-Q99  Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",256,,
,"R00-R99  Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind",2369,,
,"S00-T98  Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",4525,,
"2016","A00-B99  Bestimmte infektiöse und parasitäre Krankheiten",867,,
,"C00-D48  Neubildungen",20918,,
,"D50-D89  Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems",199,,
,"E00-E90  Endokrine, Ernährungs- und Stoffwechselkrankheiten",4149,,
,"F00-F99  Psychische und Verhaltensstörungen",2101,,
,"G00-G99  Krankheiten des Nervensystems",2864,,
,"H00-H59  Krankheiten des Auges und der Augenanhangsgebilde",1,,
,"H60-H95  Krankheiten des Ohres und des Warzenfortsatzes",2,,
,"I00-I99  Krankheiten des Kreislaufsystems",33248,,
,"J00-J99  Krankheiten des Atmungssystems",4335,,
,"K00-K93  Krankheiten des Verdauungssystems",2856,,
,"L00-L99  Krankheiten der Haut und der Unterhaut",76,,
,"M00-M99  Krankheiten des Muskel-Skelett-Systems und des Bindegewebes",318,,
,"N00-N99  Krankheiten des Urogenitalsystems",1739,,
,"O00-O99  Schwangerschaft, Geburt und Wochenbett",5,,
,"P00-P96  Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",135,,
,"Q00-Q99  Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",265,,
,"R00-R99  Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind",2378,,
,"S00-T98  Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",4213,,
"2017","A00-B99  Bestimmte infektiöse und parasitäre Krankheiten",894,,
,"C00-D48  Neubildungen",20999,,
,"D50-D89  Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems",216,,
,"E00-E90  Endokrine, Ernährungs- und Stoffwechselkrankheiten",4072,,
,"F00-F99  Psychische und Verhaltensstörungen",2953,,
,"G00-G99  Krankheiten des Nervensystems",3197,,
,"H00-H59  Krankheiten des Auges und der Augenanhangsgebilde",-,,
,"H60-H95  Krankheiten des Ohres und des Warzenfortsatzes",2,,
,"I00-I99  Krankheiten des Kreislaufsystems",33125,,
,"J00-J99  Krankheiten des Atmungssystems",5307,,
,"K00-K93  Krankheiten des Verdauungssystems",2891,,
,"L00-L99  Krankheiten der Haut und der Unterhaut",78,,
,"M00-M99  Krankheiten des Muskel-Skelett-Systems und des Bindegewebes",329,,
,"N00-N99  Krankheiten des Urogenitalsystems",1843,,
,"O00-O99  Schwangerschaft, Geburt und Wochenbett",2,,
,"P00-P96  Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",132,,
,"Q00-Q99  Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",245,,
,"R00-R99  Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind",2612,,
,"S00-T98  Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",4373,,
"2018","A00-B99  Bestimmte infektiöse und parasitäre Krankheiten",977,,
,"C00-D48  Neubildungen",21318,,
,"D50-D89  Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems",285,,
,"E00-E90  Endokrine, Ernährungs- und Stoffwechselkrankheiten",3946,,
,"F00-F99  Psychische und Verhaltensstörungen",3349,,
,"G00-G99  Krankheiten des Nervensystems",3348,,
,"H00-H59  Krankheiten des Auges und der Augenanhangsgebilde",-,,
,"H60-H95  Krankheiten des Ohres und des Warzenfortsatzes",-,,
,"I00-I99  Krankheiten des Kreislaufsystems",32684,,
,"J00-J99  Krankheiten des Atmungssystems",5546,,
,"K00-K93  Krankheiten des Verdauungssystems",2799,,
,"L00-L99  Krankheiten der Haut und der Unterhaut",80,,
,"M00-M99  Krankheiten des Muskel-Skelett-Systems und des Bindegewebes",380,,
,"N00-N99  Krankheiten des Urogenitalsystems",1743,,
,"O00-O99  Schwangerschaft, Geburt und Wochenbett",6,,
,"P00-P96  Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",121,,
,"Q00-Q99  Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",266,,
,"R00-R99  Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind",2635,,
,"S00-T98  Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",4492,,
"2019","A00-B99  Bestimmte infektiöse und parasitäre Krankheiten",1032,,
,"C00-D48  Neubildungen",21325,,
,"D50-D89  Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems",293,,
,"E00-E90  Endokrine, Ernährungs- und Stoffwechselkrankheiten",3553,,
,"F00-F99  Psychische und Verhaltensstörungen",3323,,
,"G00-G99  Krankheiten des Nervensystems",3370,,
,"H00-H59  Krankheiten des Auges und der Augenanhangsgebilde",-,,
,"H60-H95  Krankheiten des Ohres und des Warzenfortsatzes",1,,
,"I00-I99  Krankheiten des Kreislaufsystems",32148,,
,"J00-J99  Krankheiten des Atmungssystems",5293,,
,"K00-K93  Krankheiten des Verdauungssystems",3016,,
,"L00-L99  Krankheiten der Haut und der Unterhaut",94,,
,"M00-M99  Krankheiten des Muskel-Skelett-Systems und des Bindegewebes",368,,
,"N00-N99  Krankheiten des Urogenitalsystems",1848,,
,"O00-O99  Schwangerschaft, Geburt und Wochenbett",5,,
,"P00-P96  Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",148,,
,"Q00-Q99  Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",260,,
,"R00-R99  Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind",2695,,
,"S00-T98  Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",4614,,


Symbol,Description
"Q","STATcube – Statistical Database of STATISTICS AUSTRIA"
"Deceased","-) Important note The classifications ""Residential district (province)"" and ""Sex"" can be combined with only ONE variable out of the group ""classifications - A"". Classifications of the group ""classifications - A"" can not be combined among each other. The variables in the group ""classifications - B"" can only be combined with the mandatory field time. .) Origin of data and legal foundations Data on deaths are based on the reports of the Austrian registrar's offices, which since 1.November 2014 are transmitted continously by the Central Civil Status Register. Until 2008 statistics covered all deaths of Austrian residents occurring in Austria. Since reporting year 2009 data also include deaths of main residents dying abroad. Regional assignment of the results is according to the last place of residence of the deceased person. Legal basis is the Civil Status Law. Other Metadata: http://www.statistik.at/web_en/statistics/population/deaths/index.html .) Updating http://www.statistik.at/web_de/ueber_uns/veroeffentlichungskalender/index.html Latest change of cube [2020-09-17] On principle, the final data of a reporting year are stored in the database when publication takes place during May/June of the subsequent year. .) Documentation Directorate Social Statistics - Vital Events Mrs. Anita Mikulasek phone: +43 (1) 71128 - 7275 Anita.Mikulasek@statistik.gv.at Directorate Social Statistics - Causes of death Mag. Barbara Leitner phone: +43 (1) 71128 - 7262 Barbara.Leitner@statistik.gv.at"


(c) Copyright Statistics Austria
