Date,newConfPop_Vacc_Yes,newConfPop_Vacc_No
01.07.2021,0,15.52846919
02.07.2021,0,15.92400514
03.07.2021,0,15.53424022
04.07.2021,0,14.95174129
05.07.2021,0,14.37330425
06.07.2021,0,13.40601496
07.07.2021,0,13.42520385
08.07.2021,0,14.62144294
09.07.2021,0,15.41590328
10.07.2021,0,16.60939063
11.07.2021,0,19.60264061
12.07.2021,0,21.61840539
13.07.2021,0,25.22929857
14.07.2021,0,29.2947148
15.07.2021,0,32.72793309
16.07.2021,0,41.93081416
17.07.2021,0,49.15526871
18.07.2021,0,52.4412188
19.07.2021,0,55.37609599
20.07.2021,6.487187804,58.12269721
21.07.2021,6.024096386,60.68071261
22.07.2021,10.13530634,61.47216711
23.07.2021,9.929007596,57.2593483
24.07.2021,9.735202492,55.47709284
25.07.2021,9.298433214,55.78970945
26.07.2021,8.816009874,57.76064235
27.07.2021,4.174319586,57.70612033
28.07.2021,3.952412948,57.66018656
29.07.2021,3.712090278,57.23697756
30.07.2021,7.007954028,55.98016939
31.07.2021,6.851661528,53.57338623
01.08.2021,6.524221171,52.90632054
02.08.2021,9.106362312,53.78417536
03.08.2021,14.49527454,57.30479248
04.08.2021,18.78589448,59.531698
05.08.2021,14.78014534,61.8586403
06.08.2021,11.70631204,64.6908988
07.08.2021,15.88382119,69.78694707
08.08.2021,17.0198281,73.877608
09.08.2021,19.68697706,81.62929474
10.08.2021,14.8458812,90.24483817
11.08.2021,16.90559913,101.6567178
12.08.2021,18.73770338,114.3565383
13.08.2021,18.54678784,128.8001699
14.08.2021,16.7987233,137.351118
15.08.2021,16.04857368,149.3607633
16.08.2021,14.09352979,150.9472168
17.08.2021,13.40482574,156.533412
18.08.2021,8.030469897,166.4038207
19.08.2021,8.717065836,174.1651123
20.08.2021,7.166257166,182.9096369
21.08.2021,9.122145529,186.4833397
22.08.2021,10.58109447,191.1030635
23.08.2021,11.96866052,205.6818688
24.08.2021,12.43471773,222.2216667
25.08.2021,14.72970982,224.3055591
26.08.2021,13.54084681,230.6846009
27.08.2021,15.8773931,232.5865456
28.08.2021,15.31603428,250.9097085
29.08.2021,16.54103358,257.2067143
30.08.2021,16.20995755,262.080091
31.08.2021,23.54317134,268.7903907
01.09.2021,23.82778469,275.6765043
02.09.2021,24.23868494,282.608176
03.09.2021,26.23084602,306.875939
04.09.2021,32.59428803,312.0845325
05.09.2021,34.39257694,325.1365681
06.09.2021,38.99990073,342.5606747
07.09.2021,45.21581858,365.1554418
08.09.2021,51.56765677,390.5239393
09.09.2021,62.96841313,422.6074525
10.09.2021,69.62742501,431.7961463
11.09.2021,67.1541561,443.298094
12.09.2021,68.55161197,446.617525
13.09.2021,72.66036943,443.1563098
14.09.2021,80.45635902,463.1527629
15.09.2021,75.22288869,477.5405826
16.09.2021,76.47787003,482.7736322
17.09.2021,74.447149,474.359726
18.09.2021,77.39838237,455.8203788
19.09.2021,76.90779396,452.0369706
20.09.2021,71.31032726,448.2829413
21.09.2021,60.02021734,437.4095197
22.09.2021,62.55356149,415.8446153
23.09.2021,54.74441203,386.198038
24.09.2021,58.31916715,374.1567247
25.09.2021,55.63213559,372.5111297
26.09.2021,52.585237,382.7038485
27.09.2021,53.4609917,394.7901492
28.09.2021,57.30486187,428.4161576
29.09.2021,54.92242208,427.0854461
30.09.2021,54.57867635,426.6511662
01.10.2021,48.48513517,428.2200195
02.10.2021,45.98216128,432.6429704
03.10.2021,46.16886115,416.6569066
04.10.2021,45.84068332,409.3410872
05.10.2021,39.77976997,416.5880466
06.10.2021,42.83535802,418.0121463
07.10.2021,43.71249666,409.5242624
08.10.2021,46.49395862,410.9768283
09.10.2021,48.02504082,414.1243207
10.10.2021,45.4193722,415.4938214
11.10.2021,42.33252196,428.3895914
12.10.2021,45.38485806,418.4213856
13.10.2021,41.58413675,433.1917654
14.10.2021,47.84454871,446.5942624
15.10.2021,53.22818052,457.4980367
16.10.2021,58.45958981,476.980506
17.10.2021,61.29262929,499.3173037
18.10.2021,67.83173457,539.9325776
19.10.2021,78.52125379,587.6818189
20.10.2021,86.9369393,635.6933254
21.10.2021,84.92104427,666.3631601
22.10.2021,90.04273126,700.4505348
23.10.2021,92.87700801,733.6415441
24.10.2021,101.1362346,755.2353681
25.10.2021,99.50146688,753.3045611
26.10.2021,90.74641475,720.0904932
27.10.2021,88.23366291,744.1887102
28.10.2021,90.80373851,831.4502024
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
