Date,newInzImmuYes,newInzImmuNo
01.07.2021,2.307135046,10.44564939
02.07.2021,2.370819948,10.35452593
03.07.2021,2.23790947,10.65988735
04.07.2021,2.172692557,10.92864232
05.07.2021,2.564811122,11.45335017
06.07.2021,2.850773866,11.98185664
07.07.2021,2.937795569,13.86473501
08.07.2021,3.215227317,15.60493471
09.07.2021,3.690482824,17.41676676
10.07.2021,4.493423554,19.00515094
11.07.2021,4.913059604,21.34537392
12.07.2021,5.064482187,24.88412978
13.07.2021,5.07623346,28.6484316
14.07.2021,5.927997066,32.25781321
15.07.2021,7.554536197,35.67861959
16.07.2021,8.387809158,40.77663537
17.07.2021,8.892577662,44.40245158
18.07.2021,10.30120611,46.13815593
19.07.2021,11.56176424,47.97903815
20.07.2021,12.6942617,50.37254761
21.07.2021,13.25147105,53.52211132
22.07.2021,13.41131027,55.53858543
23.07.2021,13.82144249,53.24276672
24.07.2021,14.29168562,53.11072789
25.07.2021,13.7671332,55.250587
26.07.2021,13.10713057,57.46893364
27.07.2021,14.43213837,62.21787685
28.07.2021,15.5286527,64.8114585
29.07.2021,17.06677756,67.38917109
30.07.2021,18.71218295,73.00530907
31.07.2021,19.44534302,75.88559923
01.08.2021,19.65779427,76.70644521
02.08.2021,20.42439186,77.80602778
03.08.2021,20.28656589,78.75909775
04.08.2021,19.718416,79.13578091
05.08.2021,20.02044975,81.60772859
06.08.2021,20.3080768,81.84244251
07.08.2021,21.46157382,84.49362869
08.08.2021,21.77709938,87.54557008
09.08.2021,22.23252382,93.1158981
10.08.2021,24.11777266,101.084334
11.08.2021,26.55406615,110.147993
12.08.2021,28.79824943,118.3735924
13.08.2021,30.23398459,126.597224
14.08.2021,31.55290176,134.5099128
15.08.2021,33.59877353,143.8418844
16.08.2021,36.13376757,153.60625
17.08.2021,37.98178256,163.2859771
18.08.2021,39.81676376,175.7030835
19.08.2021,39.23261295,186.611469
20.08.2021,40.27243073,197.6740399
21.08.2021,40.63282346,204.824922
22.08.2021,41.31388691,212.0428915
23.08.2021,41.79289792,218.804133
24.08.2021,43.15825767,230.9924698
25.08.2021,43.87353831,235.5181813
26.08.2021,45.16631347,236.7618036
27.08.2021,46.72486409,238.5089214
28.08.2021,48.4505032,243.9668138
29.08.2021,49.22973923,246.0876008
30.08.2021,49.43140398,250.2907477
31.08.2021,51.40477299,253.4925294
01.09.2021,51.26658524,257.3276942
02.09.2021,51.00568087,267.2848871
