Date,newConfPop_Vacc_Yes,newConfPop_Vacc_No
01.07.2021,0.583059781,4.079682644
02.07.2021,0.87157869,3.884731387
03.07.2021,0.863219304,3.83195456
04.07.2021,0.847154303,3.382149017
05.07.2021,0.625731759,3.120662135
06.07.2021,0.819814367,3.572402476
07.07.2021,0.806195884,3.680778362
08.07.2021,1.001532344,4.219346448
09.07.2021,0.864765336,4.373802672
10.07.2021,1.316222442,4.719285424
11.07.2021,1.430134361,5.35807632
12.07.2021,1.661625338,6.226447784
13.07.2021,2.129828054,6.363626079
14.07.2021,2.344838055,7.028477046
15.07.2021,2.510817951,7.157950619
16.07.2021,2.746622265,7.667547182
17.07.2021,2.668571865,8.553601295
18.07.2021,2.828566597,9.814643448
19.07.2021,3.163895771,9.548559998
20.07.2021,2.83800994,10.12755823
21.07.2021,2.993045571,10.67437
22.07.2021,2.92509704,12.28600473
23.07.2021,3.330151189,11.82666169
24.07.2021,3.487644149,10.97472726
25.07.2021,3.585000359,10.97390823
26.07.2021,3.332816172,11.89531413
27.07.2021,3.950091453,12.03473188
28.07.2021,4.210967179,13.18196049
29.07.2021,4.484320205,12.73478608
30.07.2021,4.30861962,15.75208808
31.07.2021,4.414383874,18.26429554
01.08.2021,4.62991717,18.78191752
02.08.2021,5.119621936,21.29107562
03.08.2021,5.159136944,24.41026154
04.08.2021,5.026621546,26.31322483
05.08.2021,5.407107838,27.86597643
06.08.2021,5.903033212,26.97753185
07.08.2021,5.61410218,28.74269539
08.08.2021,5.540678833,30.48022395
09.08.2021,5.854341768,29.82379614
10.08.2021,6.007416128,31.69131433
11.08.2021,6.707310033,33.01651238
12.08.2021,7.353639256,34.07508986
13.08.2021,8.113456826,37.54795186
14.08.2021,8.595420666,39.41605533
15.08.2021,9.396078011,41.22917926
16.08.2021,9.42799843,42.04397757
17.08.2021,9.953939911,42.36112754
18.08.2021,10.42337921,45.28671474
19.08.2021,10.41409591,49.79754796
20.08.2021,10.62063524,52.61399882
21.08.2021,12.02139809,55.16516714
22.08.2021,11.7295839,58.65568232
23.08.2021,12.30130426,65.32534912
24.08.2021,12.92810894,69.55984943
25.08.2021,13.60924051,70.41841588
26.08.2021,14.45973019,71.07753544
27.08.2021,15.15349361,74.56616052
28.08.2021,15.08639781,76.20568277
29.08.2021,16.46403038,74.28574033
30.08.2021,17.72717292,77.00646533
31.08.2021,20.75096013,82.31040938
01.09.2021,21.63486964,88.05693112
02.09.2021,24.02221575,91.80687552
03.09.2021,27.91337141,98.17081256
04.09.2021,30.51509697,98.12719242
05.09.2021,33.10751626,106.3556252
06.09.2021,35.85541265,107.6115855
07.09.2021,38.32618887,111.5540849
08.09.2021,41.11739308,113.095997
09.09.2021,43.0731009,117.0232132
10.09.2021,42.48287127,116.3783621
11.09.2021,43.74388091,121.5320141
12.09.2021,42.54706603,126.1594313
13.09.2021,42.31068358,127.9083062
14.09.2021,41.75095107,134.2795021
15.09.2021,43.2623181,141.368495
16.09.2021,42.76291909,146.2648426
17.09.2021,42.81291445,144.8697374
18.09.2021,41.31756415,145.2970892
19.09.2021,41.92705645,137.7490218
20.09.2021,42.53887228,138.5795236
21.09.2021,42.72175658,130.031125
22.09.2021,40.89977389,129.8998263
23.09.2021,40.94004687,125.9424368
24.09.2021,41.04316188,124.2726396
25.09.2021,41.13546558,119.090035
26.09.2021,42.05882431,118.7119387
27.09.2021,40.98049392,117.3026285
28.09.2021,41.58946611,122.2927053
29.09.2021,41.40586067,119.6836404
30.09.2021,42.07568463,123.5916729
01.10.2021,42.38785254,126.6110765
02.10.2021,43.27044555,132.9744427
03.10.2021,43.24529076,139.7951988
04.10.2021,42.53757398,141.6589281
05.10.2021,42.25289937,145.0002371
06.10.2021,45.53879964,150.8835319
07.10.2021,46.72639595,146.184167
08.10.2021,48.66665442,152.2363953
09.10.2021,50.64792606,151.4287795
10.10.2021,52.19696775,151.5319325
11.10.2021,56.57291851,151.4218512
12.10.2021,60.20857634,149.5630784
13.10.2021,62.73867405,149.9965737
14.10.2021,68.21914523,160.3574115
15.10.2021,71.67111492,162.4288579
16.10.2021,76.14607696,176.9726724
17.10.2021,80.38379208,182.9143675
18.10.2021,87.33843565,199.3491685
19.10.2021,93.551966,225.4075713
20.10.2021,103.1772002,247.2921765
21.10.2021,113.116919,263.1062039
22.10.2021,125.319625,292.9026054
23.10.2021,136.8098937,309.6375997
24.10.2021,142.8298875,326.105865
25.10.2021,148.579508,342.9633912
26.10.2021,157.4498129,354.9183218
27.10.2021,162.2975379,363.6001656
28.10.2021,168.9212916,401.5000524
29.10.2021,182.5983274,427.2618782
30.10.2021,191.1285164,465.9506681
31.10.2021,203.1590505,494.3393147
01.11.2021,212.2995533,527.3465337
02.11.2021,225.2303717,560.4167935
03.11.2021,247.8024017,634.5130537
04.11.2021,268.8326901,687.3426997
05.11.2021,280.6579061,745.587017
06.11.2021,293.617719,783.6653101
07.11.2021,306.1995817,836.6665248
08.11.2021,313.99299,896.7557913
09.11.2021,317.5396328,970.588471
10.11.2021,323.3651949,1039.622384
11.11.2021,319.3289326,1086.493453
12.11.2021,325.9532786,1151.726115
13.11.2021,329.9818847,1239.051427
14.11.2021,330.1297371,1309.946356
15.11.2021,335.2415064,1369.936766
16.11.2021,340.2537754,1496.972052
17.11.2021,329.2664514,1603.69776
18.11.2021,317.7296341,1798.639102
