Date,newConfPop_Vacc_Yes,newConfPop_Vacc_No
01.07.2021,1.503026249,6.839533599
02.07.2021,1.577601767,6.81192791
03.07.2021,1.458303901,6.995819559
04.07.2021,1.417330228,7.329936624
05.07.2021,1.687195619,7.641296025
06.07.2021,1.534557426,8.057977931
07.07.2021,1.766618891,9.85901607
08.07.2021,1.936301634,11.14229946
09.07.2021,2.285715971,12.55024119
10.07.2021,2.834566006,13.398433
11.07.2021,3.314018014,15.35296968
12.07.2021,3.3941451,17.99489277
13.07.2021,3.730193165,21.28084246
14.07.2021,4.150588377,24.09069776
15.07.2021,5.352617522,27.05289882
16.07.2021,6.037141225,30.76555141
17.07.2021,6.336003707,34.24672519
18.07.2021,7.361614891,35.84013528
19.07.2021,8.277933029,37.10685334
20.07.2021,8.919924563,38.53290829
21.07.2021,9.699096314,40.34782738
22.07.2021,9.864600404,41.59724677
23.07.2021,9.784210809,40.16658297
24.07.2021,10.51890487,39.02165907
25.07.2021,9.975727426,40.41029427
26.07.2021,9.659811173,42.55543947
27.07.2021,10.5926387,46.5111977
28.07.2021,11.18762838,48.86100757
29.07.2021,12.43953265,50.86671935
30.07.2021,14.0747322,54.42061529
31.07.2021,14.13455453,56.87831962
01.08.2021,14.61213821,56.63061741
02.08.2021,15.01300684,57.12327202
03.08.2021,14.85088539,57.46903357
04.08.2021,14.64077746,57.0246511
05.08.2021,15.06335631,58.25327517
06.08.2021,15.35659768,58.38088119
07.08.2021,16.52478759,60.94597612
08.08.2021,16.43352618,63.34530194
09.08.2021,16.89903507,67.92688162
10.08.2021,18.36324154,73.83307393
11.08.2021,19.98177444,81.77013515
12.08.2021,21.75451097,88.61598884
13.08.2021,22.72280633,94.88098344
14.08.2021,23.73636255,100.9917922
15.08.2021,25.67950918,108.0492804
16.08.2021,27.66993455,115.2482713
17.08.2021,29.00077926,123.0742542
18.08.2021,29.86280996,130.0047569
19.08.2021,29.23056168,137.2927131
20.08.2021,29.32989311,143.385444
21.08.2021,29.2653323,146.2358273
22.08.2021,29.27840486,151.8616553
23.08.2021,29.65745638,157.7063732
24.08.2021,31.08437091,165.8199677
25.08.2021,32.68460611,169.8920156
26.08.2021,33.23508819,169.6862028
27.08.2021,34.87288746,171.283391
28.08.2021,36.26396854,176.4067905
29.08.2021,36.97713947,176.8446989
30.08.2021,37.13936598,177.7765439
31.08.2021,38.28268959,176.0927534
01.09.2021,37.62977786,174.6989421
02.09.2021,40.07975432,178.5120636
03.09.2021,41.88904059,184.5978253
04.09.2021,42.77106669,183.9823362
05.09.2021,42.94849843,184.6318077
06.09.2021,45.20806273,190.7780015
07.09.2021,46.94336504,197.3335854
08.09.2021,49.15591228,206.0730198
09.09.2021,49.96525749,213.2802093
10.09.2021,50.60374934,217.6282746
11.09.2021,51.07238713,222.2099227
12.09.2021,51.47954742,224.665535
13.09.2021,51.36152783,222.9329247
14.09.2021,51.7890196,222.2703005
15.09.2021,52.47936967,221.8439415
16.09.2021,52.80952957,214.7013597
17.09.2021,52.49207268,209.6053328
18.09.2021,51.49222155,202.593688
19.09.2021,50.54456099,200.2525947
20.09.2021,49.32015899,191.1289823
21.09.2021,47.07077703,183.9641391
22.09.2021,45.44413557,179.1183386
23.09.2021,44.47790349,179.6797139
24.09.2021,45.01596599,175.0275538
25.09.2021,45.49334041,175.0897515
26.09.2021,47.12276342,174.7985638
27.09.2021,47.7325574,178.8490438
28.09.2021,50.3178258,184.3200972
29.09.2021,51.63978982,185.9501128
30.09.2021,51.92508958,182.7756783
01.10.2021,52.22188455,183.4218431
02.10.2021,52.4655078,184.1817206
03.10.2021,51.9519504,185.8145722
04.10.2021,51.80532389,183.3420904
05.10.2021,53.45926388,181.9113632
06.10.2021,54.38508163,183.8242778
07.10.2021,56.34123657,187.072886
08.10.2021,56.54683088,187.7314414
09.10.2021,58.69876001,190.3132499
10.10.2021,59.05097334,190.6513674
11.10.2021,60.07553718,192.3551298
12.10.2021,60.99810454,195.4762247
13.10.2021,61.9138848,193.8359245
14.10.2021,64.87700784,203.0506824
15.10.2021,68.31196261,211.4400524
16.10.2021,71.84913075,216.7859292
17.10.2021,76.10205826,226.90159
18.10.2021,82.12321952,239.1852137
19.10.2021,88.22245913,253.718968
20.10.2021,96.70903638,274.6633702
21.10.2021,103.6771693,284.6664191
22.10.2021,111.0465803,300.4156841
23.10.2021,117.8847622,319.4351042
24.10.2021,121.4442013,332.9867924
25.10.2021,125.4294766,353.0437464
26.10.2021,131.4679161,369.1675288
27.10.2021,136.1976296,387.5152059
28.10.2021,150.3572538,430.432828
29.10.2021,167.1657516,466.7948043
30.10.2021,179.994985,505.4888781
31.10.2021,193.5240721,536.8549093
01.11.2021,206.4919305,561.4456714
02.11.2021,219.9986092,596.6636141
03.11.2021,244.0923089,659.6633689
04.11.2021,254.4301772,688.6620017
05.11.2021,270.9681277,731.8975669
06.11.2021,280.3379949,758.5671968
07.11.2021,291.782611,810.920402
08.11.2021,297.6260937,846.7649976
09.11.2021,308.2000057,902.6569576
10.11.2021,317.3296714,959.6562844
11.11.2021,320.8453893,991.104864
12.11.2021,324.8708008,1027.009578
13.11.2021,329.0138774,1048.45738
14.11.2021,329.6469913,1063.370312
15.11.2021,326.9957283,1060.259331
16.11.2021,317.3488946,1013.909675
17.11.2021,285.6200047,899.694889
18.11.2021,252.8604342,784.4727276
