Date,newConfPop_Vacc_Yes,newConfPop_Vacc_No
01.07.2021,0.218647418,1.825121183
02.07.2021,0.29052623,1.618638078
03.07.2021,0.287739768,1.751750656
04.07.2021,0.282384768,1.691074509
05.07.2021,0.069525751,1.27138087
06.07.2021,0.136635728,1.667121156
07.07.2021,0.134365981,1.963081793
08.07.2021,0.200306469,2.357870074
09.07.2021,0.266081642,2.499315812
10.07.2021,0.460677855,2.423416839
11.07.2021,0.520048859,2.613695766
12.07.2021,0.766904002,2.842508771
13.07.2021,1.127556029,3.111106083
14.07.2021,1.419244086,3.514238523
15.07.2021,1.714704942,3.57897531
16.07.2021,1.709009409,4.209633747
17.07.2021,1.940779538,5.040515049
18.07.2021,2.166561649,6.387307641
19.07.2021,2.149061278,7.002277332
20.07.2021,2.069382248,6.533908535
21.07.2021,2.054050882,7.171842346
22.07.2021,1.930564046,8.078468861
23.07.2021,2.278524498,7.602853942
24.07.2021,2.266968697,6.687724425
25.07.2021,2.197258284,6.44499372
26.07.2021,2.241031564,6.746596076
27.07.2021,2.289908089,6.825668826
28.07.2021,2.446913361,7.506394166
29.07.2021,2.611123158,7.197922569
30.07.2021,2.381079264,9.265934164
31.07.2021,2.263786602,10.9958514
01.08.2021,2.314958585,11.45696969
02.08.2021,2.64420034,13.30692226
03.08.2021,2.9721115,15.95316305
04.08.2021,2.960121577,16.17776045
05.08.2021,3.065885888,17.85777363
06.08.2021,3.452717539,17.72246618
07.08.2021,3.557450886,20.21899952
08.08.2021,3.712254818,21.65700123
09.08.2021,4.252682227,21.70847746
10.08.2021,4.464226664,23.51291063
11.08.2021,5.112949452,25.7941503
12.08.2021,5.817057919,25.14076752
13.08.2021,6.304375236,27.32656497
14.08.2021,6.350756671,28.30408229
15.08.2021,7.047058509,29.81186808
16.08.2021,6.703143393,30.73265366
17.08.2021,7.071104855,29.88932349
18.08.2021,7.166073204,31.63569547
19.08.2021,6.942730608,34.79304661
20.08.2021,7.315233459,36.02203238
21.08.2021,8.501619369,37.43350627
22.08.2021,8.162060688,40.13283527
23.08.2021,8.416681863,43.99462288
24.08.2021,8.511005053,47.86433369
25.08.2021,8.714217245,48.59545632
26.08.2021,9.783163176,50.31838223
27.08.2021,10.15606486,53.7780188
28.08.2021,9.663884721,55.33984106
29.08.2021,10.24309382,52.86592563
30.08.2021,11.51462893,54.54624628
31.08.2021,12.94260916,56.02641311
01.09.2021,13.5151161,57.93219153
02.09.2021,14.94715646,59.96499718
03.09.2021,17.239042,63.27597397
04.09.2021,19.09860964,62.23268498
05.09.2021,20.79215997,65.91711274
06.09.2021,22.10994985,66.58320321
07.09.2021,23.90063723,70.6038512
08.09.2021,25.95768153,73.66586862
09.09.2021,27.01374723,76.83342278
10.09.2021,26.79770603,77.58557476
11.09.2021,27.69205583,80.54753371
12.09.2021,27.1961271,86.24458298
13.09.2021,26.96841563,88.36868081
14.09.2021,27.32114333,92.22755836
15.09.2021,28.89456294,97.75990837
16.09.2021,28.03170285,100.6321331
17.09.2021,27.87078342,97.78106651
18.09.2021,27.06830164,98.14770267
19.09.2021,27.79255636,93.3605454
20.09.2021,28.7296115,93.83744356
21.09.2021,28.86890977,89.7602915
22.09.2021,27.21367384,88.30269092
23.09.2021,27.4694508,85.99164444
24.09.2021,28.26009215,84.79780111
25.09.2021,28.35654046,81.50834362
26.09.2021,29.07705419,81.75213926
27.09.2021,28.3224263,80.49218023
28.09.2021,29.09681279,83.16888204
29.09.2021,28.65749135,82.1745407
30.09.2021,29.12121852,81.81768745
01.10.2021,29.53985748,85.06681702
02.10.2021,29.89977259,90.1353764
03.10.2021,29.72456117,91.37590259
04.10.2021,28.86666022,91.86668625
05.10.2021,28.27370629,94.33750365
06.10.2021,31.7248385,96.08503526
07.10.2021,33.02348658,94.53075635
08.10.2021,34.33440344,99.06651752
09.10.2021,36.37203395,99.44576564
10.10.2021,37.92804792,103.9579537
11.10.2021,41.5776871,102.7144891
12.10.2021,44.27871802,101.7332615
13.10.2021,45.45673545,104.8199407
14.10.2021,49.52825126,111.8181633
15.10.2021,51.61995567,113.1155583
16.10.2021,54.58443867,121.4618197
17.10.2021,57.21526905,123.9014919
18.10.2021,62.45926428,138.1095139
19.10.2021,66.96461218,156.0118538
20.10.2021,74.16024353,170.8845729
21.10.2021,82.17672849,181.43473
22.10.2021,91.35498062,202.4207767
23.10.2021,100.768858,214.3644921
24.10.2021,106.0798617,225.6257935
25.10.2021,110.7573752,236.1942261
26.10.2021,118.3997601,243.1412491
27.10.2021,121.6060744,246.7661066
28.10.2021,125.7935581,274.5725375
29.10.2021,136.4545335,289.8246626
30.10.2021,141.253075,318.8636477
31.10.2021,149.7700165,337.7195638
01.11.2021,156.6007963,361.0660952
02.11.2021,165.5601625,382.6074992
03.11.2021,181.1023418,424.4234473
04.11.2021,194.6182602,446.0161203
05.11.2021,201.72287,470.5057671
06.11.2021,210.2902659,472.1131583
07.11.2021,217.5355551,491.202502
08.11.2021,221.0137281,517.6872018
09.11.2021,220.2976558,541.5311948
10.11.2021,222.6406413,565.4603334
11.11.2021,218.3082612,580.8921839
12.11.2021,221.0493706,593.2809724
13.11.2021,219.0727457,619.9277421
14.11.2021,215.1151259,619.9356706
15.11.2021,212.8320325,598.421975
16.11.2021,207.3494195,569.966644
17.11.2021,187.4357548,502.2718601
18.11.2021,166.3091821,426.635028
