Datum,BundeslandID,Name,TestungenApotheken,TestungenApothekenPCR,TestungenApothekenAntigen,TestungenBetriebe
2021-04-28,1,Burgenland,236422,NA,236422,68761
2021-04-28,2,Kärnten,176205,NA,176205,78015
2021-04-28,3,Niederösterreich,397169,NA,397169,510424
2021-04-28,4,Oberösterreich,347180,NA,347180,306641
2021-04-28,5,Salzburg,246114,NA,246114,101554
2021-04-28,6,Steiermark,542714,NA,542714,388944
2021-04-28,7,Tirol,321005,NA,321005,67924
2021-04-28,8,Vorarlberg,204500,NA,204500,56577
2021-04-28,9,Wien,987752,NA,987752,296169
2021-04-28,10,Österreich,3459061,NA,3459061,1875009
2021-04-29,1,Burgenland,242288,NA,242288,73433
2021-04-29,2,Kärnten,181185,NA,181185,83225
2021-04-29,3,Niederösterreich,405068,NA,405068,523172
2021-04-29,4,Oberösterreich,357106,NA,357106,315155
2021-04-29,5,Salzburg,253543,NA,253543,105762
2021-04-29,6,Steiermark,557460,NA,557460,402836
2021-04-29,7,Tirol,327972,NA,327972,72415
2021-04-29,8,Vorarlberg,214257,NA,214257,61870
2021-04-29,9,Wien,1011712,NA,1011712,345276
2021-04-29,10,Österreich,3550591,NA,3550591,1983144
2021-04-30,1,Burgenland,248781,NA,248781,75684
2021-04-30,2,Kärnten,186459,NA,186459,84987
2021-04-30,3,Niederösterreich,412589,NA,412589,533498
2021-04-30,4,Oberösterreich,367057,NA,367057,324468
2021-04-30,5,Salzburg,261159,NA,261159,108473
2021-04-30,6,Steiermark,572821,NA,572821,412074
2021-04-30,7,Tirol,335358,NA,335358,73831
2021-04-30,8,Vorarlberg,223550,NA,223550,63685
2021-04-30,9,Wien,1035619,NA,1035619,353822
2021-04-30,10,Österreich,3643393,NA,3643393,2030522
2021-05-01,1,Burgenland,255228,NA,255228,77382
2021-05-01,2,Kärnten,191865,NA,191865,86803
2021-05-01,3,Niederösterreich,422489,NA,422489,542827
2021-05-01,4,Oberösterreich,375933,NA,375933,330002
2021-05-01,5,Salzburg,269358,NA,269358,110179
2021-05-01,6,Steiermark,587995,NA,587995,419331
2021-05-01,7,Tirol,344980,NA,344980,75700
2021-05-01,8,Vorarlberg,238272,NA,238272,66473
2021-05-01,9,Wien,1061053,NA,1061053,360571
2021-05-01,10,Österreich,3747173,NA,3747173,2069268
2021-05-02,1,Burgenland,255434,NA,255434,77555
2021-05-02,2,Kärnten,192103,NA,192103,86836
2021-05-02,3,Niederösterreich,423134,NA,423134,543542
2021-05-02,4,Oberösterreich,376139,NA,376139,330196
2021-05-02,5,Salzburg,270004,NA,270004,110291
2021-05-02,6,Steiermark,588435,NA,588435,419913
2021-05-02,7,Tirol,345295,NA,345295,75779
2021-05-02,8,Vorarlberg,244249,NA,244249,66527
2021-05-02,9,Wien,1061790,NA,1061790,360662
2021-05-02,10,Österreich,3756583,NA,3756583,2071301
2021-05-03,1,Burgenland,255462,NA,255462,78158
2021-05-03,2,Kärnten,192217,NA,192217,87215
2021-05-03,3,Niederösterreich,423700,NA,423700,548222
2021-05-03,4,Oberösterreich,376348,NA,376348,331876
2021-05-03,5,Salzburg,270288,NA,270288,110874
2021-05-03,6,Steiermark,588784,NA,588784,422584
2021-05-03,7,Tirol,345627,NA,345627,76108
2021-05-03,8,Vorarlberg,248382,NA,248382,66832
2021-05-03,9,Wien,1062373,NA,1062373,361628
2021-05-03,10,Österreich,3763181,NA,3763181,2083497
2021-05-04,1,Burgenland,264444,NA,264444,82130
2021-05-04,2,Kärnten,198748,NA,198748,90068
2021-05-04,3,Niederösterreich,442325,NA,442325,565429
2021-05-04,4,Oberösterreich,389157,NA,389157,345076
2021-05-04,5,Salzburg,279681,NA,279681,117509
2021-05-04,6,Steiermark,609125,NA,609125,436352
2021-05-04,7,Tirol,354689,NA,354689,77804
2021-05-04,8,Vorarlberg,258493,NA,258493,69009
2021-05-04,9,Wien,1109179,NA,1109179,374751
2021-05-04,10,Österreich,3905841,NA,3905841,2158128
2021-05-05,1,Burgenland,269500,NA,269500,83604
2021-05-05,2,Kärnten,203816,NA,203816,91771
2021-05-05,3,Niederösterreich,454165,NA,454165,576536
2021-05-05,4,Oberösterreich,398888,NA,398888,352810
2021-05-05,5,Salzburg,286259,NA,286259,119865
2021-05-05,6,Steiermark,623486,NA,623486,446360
2021-05-05,7,Tirol,361561,NA,361561,78974
2021-05-05,8,Vorarlberg,267544,NA,267544,70541
2021-05-05,9,Wien,1144016,NA,1144016,382611
2021-05-05,10,Österreich,4009235,NA,4009235,2203072
2021-05-06,1,Burgenland,275099,NA,275099,92866
2021-05-06,2,Kärnten,208881,NA,208881,94115
2021-05-06,3,Niederösterreich,466379,NA,466379,591745
2021-05-06,4,Oberösterreich,408886,NA,408886,361179
2021-05-06,5,Salzburg,293810,NA,293810,123150
2021-05-06,6,Steiermark,639080,NA,639080,459345
2021-05-06,7,Tirol,368419,NA,368419,80881
