STATcube

"Resident population annual average (Q)"
"Alter in 5-Jahresgruppen by Resident population annual average, Time section and Gender <2>"
"Counting: Resident population annual average"

"Alter in 5-Jahresgruppen","Values","Time section","Gender <2>","Number","Annotations",
"Up to 4 years old","Resident population annual average","2019","male",224141,
"Up to 4 years old","Resident population annual average","2019","female",211489,
"Up to 4 years old","Resident population annual average","2019","Not classifiable <0>",-,
"5 to 9 years old","Resident population annual average","2019","male",217570,
"5 to 9 years old","Resident population annual average","2019","female",204680,
"5 to 9 years old","Resident population annual average","2019","Not classifiable <0>",-,
"10 to 14 years old","Resident population annual average","2019","male",216646,
"10 to 14 years old","Resident population annual average","2019","female",205802,
"10 to 14 years old","Resident population annual average","2019","Not classifiable <0>",-,
"15 to 19 years old","Resident population annual average","2019","male",225654,
"15 to 19 years old","Resident population annual average","2019","female",211838,
"15 to 19 years old","Resident population annual average","2019","Not classifiable <0>",-,
"20 to 24 years old","Resident population annual average","2019","male",269271,
"20 to 24 years old","Resident population annual average","2019","female",253800,
"20 to 24 years old","Resident population annual average","2019","Not classifiable <0>",-,
"25 to 29 years old","Resident population annual average","2019","male",308524,
"25 to 29 years old","Resident population annual average","2019","female",293903,
"25 to 29 years old","Resident population annual average","2019","Not classifiable <0>",-,
"30 to 34 years old","Resident population annual average","2019","male",308136,
"30 to 34 years old","Resident population annual average","2019","female",297634,
"30 to 34 years old","Resident population annual average","2019","Not classifiable <0>",-,
"35 to 39 years old","Resident population annual average","2019","male",305045,
"35 to 39 years old","Resident population annual average","2019","female",299918,
"35 to 39 years old","Resident population annual average","2019","Not classifiable <0>",-,
"40 to 44 years old","Resident population annual average","2019","male",283152,
"40 to 44 years old","Resident population annual average","2019","female",282194,
"40 to 44 years old","Resident population annual average","2019","Not classifiable <0>",-,
"45 to 49 years old","Resident population annual average","2019","male",313335,
"45 to 49 years old","Resident population annual average","2019","female",318279,
"45 to 49 years old","Resident population annual average","2019","Not classifiable <0>",-,
"50 to 54 years old","Resident population annual average","2019","male",358356,
"50 to 54 years old","Resident population annual average","2019","female",355179,
"50 to 54 years old","Resident population annual average","2019","Not classifiable <0>",-,
"55 to 59 years old","Resident population annual average","2019","male",337655,
"55 to 59 years old","Resident population annual average","2019","female",339107,
"55 to 59 years old","Resident population annual average","2019","Not classifiable <0>",-,
"60 to 64 years old","Resident population annual average","2019","male",270137,
"60 to 64 years old","Resident population annual average","2019","female",284669,
"60 to 64 years old","Resident population annual average","2019","Not classifiable <0>",-,
"65 to 69 years old","Resident population annual average","2019","male",211759,
"65 to 69 years old","Resident population annual average","2019","female",235673,
"65 to 69 years old","Resident population annual average","2019","Not classifiable <0>",-,
"70 to 74 years old","Resident population annual average","2019","male",178759,
"70 to 74 years old","Resident population annual average","2019","female",210892,
"70 to 74 years old","Resident population annual average","2019","Not classifiable <0>",-,
"75 to 79 years old","Resident population annual average","2019","male",169982,
"75 to 79 years old","Resident population annual average","2019","female",216704,
"75 to 79 years old","Resident population annual average","2019","Not classifiable <0>",-,
"80 to 84 years old","Resident population annual average","2019","male",95385,
"80 to 84 years old","Resident population annual average","2019","female",136147,
"80 to 84 years old","Resident population annual average","2019","Not classifiable <0>",-,
"85 to 89 years old","Resident population annual average","2019","male",51574,
"85 to 89 years old","Resident population annual average","2019","female",92357,
"85 to 89 years old","Resident population annual average","2019","Not classifiable <0>",-,
"90 to 94 years old","Resident population annual average","2019","male",18871,
"90 to 94 years old","Resident population annual average","2019","female",46436,
"90 to 94 years old","Resident population annual average","2019","Not classifiable <0>",-,
"95 plus years old","Resident population annual average","2019","male",3339,
"95 plus years old","Resident population annual average","2019","female",13645,
"95 plus years old","Resident population annual average","2019","Not classifiable <0>",-,
"Up to 14 years old","Resident population annual average","2019","male",658357,
"Up to 14 years old","Resident population annual average","2019","female",621971,
"Up to 14 years old","Resident population annual average","2019","Not classifiable <0>",-,
"15 to 29 years old","Resident population annual average","2019","male",803449,
"15 to 29 years old","Resident population annual average","2019","female",759541,
"15 to 29 years old","Resident population annual average","2019","Not classifiable <0>",-,
"30 to 44 years old","Resident population annual average","2019","male",896333,
"30 to 44 years old","Resident population annual average","2019","female",879746,
"30 to 44 years old","Resident population annual average","2019","Not classifiable <0>",-,
"45 to 59 years old","Resident population annual average","2019","male",1009346,
"45 to 59 years old","Resident population annual average","2019","female",1012565,
"45 to 59 years old","Resident population annual average","2019","Not classifiable <0>",-,
"60 to 74 years old","Resident population annual average","2019","male",660655,
"60 to 74 years old","Resident population annual average","2019","female",731234,
"60 to 74 years old","Resident population annual average","2019","Not classifiable <0>",-,
"75 plus years old","Resident population annual average","2019","male",339151,
"75 plus years old","Resident population annual average","2019","female",505289,
"75 plus years old","Resident population annual average","2019","Not classifiable <0>",-,


Symbol,Description
"Q","STATcube – Statistical Database of STATISTICS AUSTRIA"
