Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-03-01T08:00:00+01:00;1;Burgenland;12375
2021-03-01T08:00:00+01:00;2;Kärnten;29226
2021-03-01T08:00:00+01:00;3;Niederösterreich;72922
2021-03-01T08:00:00+01:00;4;Oberösterreich;86410
2021-03-01T08:00:00+01:00;5;Salzburg;37902
2021-03-01T08:00:00+01:00;6;Steiermark;55981
2021-03-01T08:00:00+01:00;7;Tirol;47517
2021-03-01T08:00:00+01:00;8;Vorarlberg;23128
2021-03-01T08:00:00+01:00;9;Wien;91893
2021-03-01T08:00:00+01:00;10;Österreich;457354
2021-03-02T08:00:00+01:00;1;Burgenland;12456
2021-03-02T08:00:00+01:00;2;Kärnten;29414
2021-03-02T08:00:00+01:00;3;Niederösterreich;73508
2021-03-02T08:00:00+01:00;4;Oberösterreich;86667
2021-03-02T08:00:00+01:00;5;Salzburg;38097
2021-03-02T08:00:00+01:00;6;Steiermark;56293
2021-03-02T08:00:00+01:00;7;Tirol;47632
2021-03-02T08:00:00+01:00;8;Vorarlberg;23167
2021-03-02T08:00:00+01:00;9;Wien;92048
2021-03-02T08:00:00+01:00;10;Österreich;459282
2021-03-03T08:00:00+01:00;1;Burgenland;12561
2021-03-03T08:00:00+01:00;2;Kärnten;29602
2021-03-03T08:00:00+01:00;3;Niederösterreich;74091
2021-03-03T08:00:00+01:00;4;Oberösterreich;86957
2021-03-03T08:00:00+01:00;5;Salzburg;38252
2021-03-03T08:00:00+01:00;6;Steiermark;56567
2021-03-03T08:00:00+01:00;7;Tirol;47806
2021-03-03T08:00:00+01:00;8;Vorarlberg;23209
2021-03-03T08:00:00+01:00;9;Wien;92722
2021-03-03T08:00:00+01:00;10;Österreich;461767
2021-03-04T08:00:00+01:00;1;Burgenland;12652
2021-03-04T08:00:00+01:00;2;Kärnten;29775
2021-03-04T08:00:00+01:00;3;Niederösterreich;74576
2021-03-04T08:00:00+01:00;4;Oberösterreich;87367
2021-03-04T08:00:00+01:00;5;Salzburg;38473
2021-03-04T08:00:00+01:00;6;Steiermark;56901
2021-03-04T08:00:00+01:00;7;Tirol;48009
2021-03-04T08:00:00+01:00;8;Vorarlberg;23257
2021-03-04T08:00:00+01:00;9;Wien;93335
2021-03-04T08:00:00+01:00;10;Österreich;464345
2021-03-05T08:00:00+01:00;1;Burgenland;12783
2021-03-05T08:00:00+01:00;2;Kärnten;29946
2021-03-05T08:00:00+01:00;3;Niederösterreich;74984
2021-03-05T08:00:00+01:00;4;Oberösterreich;87782
2021-03-05T08:00:00+01:00;5;Salzburg;38707
2021-03-05T08:00:00+01:00;6;Steiermark;57060
2021-03-05T08:00:00+01:00;7;Tirol;48119
2021-03-05T08:00:00+01:00;8;Vorarlberg;23326
2021-03-05T08:00:00+01:00;9;Wien;94132
2021-03-05T08:00:00+01:00;10;Österreich;466839
2021-03-06T08:00:00+01:00;1;Burgenland;12845
2021-03-06T08:00:00+01:00;2;Kärnten;30104
2021-03-06T08:00:00+01:00;3;Niederösterreich;75685
2021-03-06T08:00:00+01:00;4;Oberösterreich;88126
2021-03-06T08:00:00+01:00;5;Salzburg;38942
2021-03-06T08:00:00+01:00;6;Steiermark;57530
2021-03-06T08:00:00+01:00;7;Tirol;48253
2021-03-06T08:00:00+01:00;8;Vorarlberg;23369
2021-03-06T08:00:00+01:00;9;Wien;94701
2021-03-06T08:00:00+01:00;10;Österreich;469555
2021-03-07T08:00:00+01:00;1;Burgenland;12885
2021-03-07T08:00:00+01:00;2;Kärnten;30205
2021-03-07T08:00:00+01:00;3;Niederösterreich;76199
2021-03-07T08:00:00+01:00;4;Oberösterreich;88463
2021-03-07T08:00:00+01:00;5;Salzburg;39085
2021-03-07T08:00:00+01:00;6;Steiermark;57798
2021-03-07T08:00:00+01:00;7;Tirol;48356
2021-03-07T08:00:00+01:00;8;Vorarlberg;23405
2021-03-07T08:00:00+01:00;9;Wien;95179
2021-03-07T08:00:00+01:00;10;Österreich;471575
2021-03-08T08:00:00+01:00;1;Burgenland;13064
2021-03-08T08:00:00+01:00;2;Kärnten;30254
2021-03-08T08:00:00+01:00;3;Niederösterreich;76681
2021-03-08T08:00:00+01:00;4;Oberösterreich;88745
2021-03-08T08:00:00+01:00;5;Salzburg;39217
2021-03-08T08:00:00+01:00;6;Steiermark;58056
2021-03-08T08:00:00+01:00;7;Tirol;48452
2021-03-08T08:00:00+01:00;8;Vorarlberg;23432
2021-03-08T08:00:00+01:00;9;Wien;95943
2021-03-08T08:00:00+01:00;10;Österreich;473844
2021-03-09T08:00:00+01:00;1;Burgenland;13154
2021-03-09T08:00:00+01:00;2;Kärnten;30471
2021-03-09T08:00:00+01:00;3;Niederösterreich;77136
2021-03-09T08:00:00+01:00;4;Oberösterreich;89068
2021-03-09T08:00:00+01:00;5;Salzburg;39385
2021-03-09T08:00:00+01:00;6;Steiermark;58461
2021-03-09T08:00:00+01:00;7;Tirol;48587
2021-03-09T08:00:00+01:00;8;Vorarlberg;23467
2021-03-09T08:00:00+01:00;9;Wien;96242
2021-03-09T08:00:00+01:00;10;Österreich;475971
2021-03-10T08:00:00+01:00;1;Burgenland;13321
2021-03-10T08:00:00+01:00;2;Kärnten;30647
2021-03-10T08:00:00+01:00;3;Niederösterreich;77780
2021-03-10T08:00:00+01:00;4;Oberösterreich;89533
2021-03-10T08:00:00+01:00;5;Salzburg;39650
2021-03-10T08:00:00+01:00;6;Steiermark;58736
2021-03-10T08:00:00+01:00;7;Tirol;48710
2021-03-10T08:00:00+01:00;8;Vorarlberg;23527
2021-03-10T08:00:00+01:00;9;Wien;96992
2021-03-10T08:00:00+01:00;10;Österreich;478896
2021-03-11T08:00:00+01:00;1;Burgenland;13490
2021-03-11T08:00:00+01:00;2;Kärnten;30822
2021-03-11T08:00:00+01:00;3;Niederösterreich;78359
2021-03-11T08:00:00+01:00;4;Oberösterreich;89998
2021-03-11T08:00:00+01:00;5;Salzburg;39900
2021-03-11T08:00:00+01:00;6;Steiermark;59088
